date,close,volume,closecum
2014-10-24,-0.0168489488354,416169472,11.1840232128
2014-10-27,0.976050157419,532522464,12.1600733702
2014-10-28,2.01352537852,639738624,14.1735987487
2014-10-29,0.52770864596,739521536,14.7013073947
2014-10-30,-0.282141372631,637216512,14.419166022
2014-10-31,-0.819260083617,705558400,13.5999059384
2014-11-03,1.09861643715,596847488,14.6985223756
2014-11-04,-0.882153772946,634171072,13.8163686026
2014-11-05,-0.257782267956,550905792,13.5585863347
2014-11-06,1.32450725196,579331008,14.8830935866
2014-11-07,-0.645668572025,768774272,14.2374250146
2014-11-10,-0.51273294475,610576064,13.7246920698
2014-11-11,-3.51923465393,782225792,10.2054574159
2014-11-12,0.974678209083,465755648,11.180135625
2014-11-13,-2.22896379001,661101056,8.95117183498
2014-11-14,-0.114079061086,442486624,8.8370927739
2014-11-17,2.11433008167,520673088,10.9514228556
2014-11-18,0.69138436554,517442240,11.6428072211
2014-11-19,1.59880150622,596234112,13.2416087273
2014-11-20,-0.728038619722,589662656,12.5135701076
2014-11-21,0.685271087542,537833600,13.1988411951
2014-11-24,0.197895713345,676005504,13.3967369085
2014-11-25,2.26228618839,804775744,15.6590230969
2014-11-26,0.797576012276,797708288,16.4565991092
2014-11-27,0.591229040934,792371136,17.0478281501
2014-11-28,0.476011075797,955724032,17.5238392259
2014-12-01,-1.18057027688,888777792,16.343268949
2014-12-02,0.844614399481,812599168,17.1878833485
2014-12-03,2.49326537274,1336336384,19.6811487212
2014-12-04,1.08436115372,1181810048,20.765509875
2014-12-05,-2.46250412339,1245316480,18.3030057516
2014-12-08,-0.932039620534,1190537728,17.370966131
2014-12-09,-3.99065062154,1343729152,13.3803155095
2014-12-10,4.52352516212,1164501504,17.9038406716
2014-12-11,0.952511151311,1080821248,18.8563518229
2014-12-12,2.26143424463,1025023808,21.1177860675
2014-12-15,2.08977875286,1002989056,23.2075648204
2014-12-16,-0.477587303273,902521856,22.7299775171
2014-12-17,-0.325537014832,889766976,22.4044405023
2014-12-18,-0.617925182397,789048960,21.7865153199
2014-12-19,-2.27905843878,845184640,19.5074568811
2014-12-22,-4.94003360448,913962624,14.5674232766
2014-12-23,-1.40942126372,737496000,13.1580020129
2014-12-24,1.55452532318,590852224,14.7125273361
2014-12-25,0.636268767297,597262208,15.3487961034
2014-12-26,0.432437945743,602436736,15.7812340491
2014-12-29,-2.38802355603,841627968,13.3932104931
2014-12-30,-2.62051487262,763285952,10.7726956205
2014-12-31,0.798297112268,627856320,11.5709927328
2015-01-05,-0.474940275751,804880960,11.096052457
2015-01-06,5.12393038107,1100241024,16.2199828381
2015-01-07,-1.06771665407,851106560,15.152266184
2015-01-08,1.21439923014,847205056,16.3666654142
2015-01-09,0.736240723218,920011072,17.1029061374
